frame,x_raw,y_raw,x_smooth,y_smooth,x_standardized,y_standardized
92,1865.2273,391.43213,1864.4183,389.82892,49.883064,-19.634693
93,1873.9047,392.55966,1873.894,391.0765,50.587284,-22.753565
94,1882.9447,390.84286,1883.1484,391.9239,51.275055,-24.871952
95,1893.1228,391.50977,1892.0945,392.1035,51.93992,-25.320929
96,1901.1086,391.0365,1900.6381,391.7525,52.57486,-24.4435
97,1908.6083,391.55728,1908.9159,391.30035,53.19006,-23.313164
98,1917.5693,391.4364,1917.1146,390.87985,53.799377,-22.261944
99,1927.1624,391.74316,1925.5459,390.46924,54.42598,-21.235443
100,1932.6125,389.25757,1933.9658,389.8351,55.05173,-19.650179
101,1940.7794,389.17563,1942.4236,389.63007,55.680305,-19.137577
102,1950.1045,389.80908,1951.1859,389.6225,56.33151,-19.118656
103,1960.5732,390.12427,1960.5159,390.0038,57.024895,-20.071918
104,1970.7612,389.57037,1970.2343,390.76614,57.74715,-21.977682
105,1980.2651,390.06747,1980.0078,392.18497,58.47351,-25.524628
106,1988.2139,391.40485,1990.0339,393.80112,59.21863,-29.564875
107,1999.4127,396.2237,1999.9928,395.32782,59.958763,-33.381508
108,2010.4686,397.6265,2009.2269,396.3093,60.64503,-35.83512
109,2019.925,398.5135,2018.2329,396.72675,61.314346,-36.878716
110,2028.1099,399.584,2026.7589,396.81772,61.947983,-37.106136
111,2034.882,399.16455,2034.7698,396.55627,62.54334,-36.45255
112,2042.4623,394.89258,2042.1984,395.68958,63.09542,-34.28587
113,2047.4539,391.8315,2048.9404,394.06604,63.59648,-30.227161
114,2054.9775,390.562,2054.8213,392.1963,64.03354,-25.55293
115,2063.7617,389.49802,2060.7952,390.93073,64.47751,-22.389122
116,2067.7148,389.97104,2067.1985,389.8182,64.95339,-19.607914
117,2072.884,388.75604,2073.9248,388.6546,65.453285,-16.698994
118,2078.9912,386.8603,2081.2515,387.30756,65.99779,-13.331486
119,2086.2576,385.74042,2088.9011,385.77353,66.5663,-9.49654
120,2095.633,387.71063,2097.195,384.2753,67.18269,-5.7510843
121,2107.7944,386.7706,2105.7993,383.15356,67.82215,-2.9468365
122,2116.8225,381.5879,2114.815,382.4495,68.49218,-1.1867146
123,2125.1963,377.62192,2124.8413,381.43527,69.23733,1.3487579
124,2135.915,375.6372,2135.369,380.64578,70.01972,3.3224196
125,2144.7424,377.76398,2146.0679,380.22794,70.81486,4.367003
126,2156.126,382.88998,2156.9465,379.70795,71.62334,5.666935
127,2166.465,383.91595,2167.9167,378.7996,72.43863,7.937752
128,2177.7832,380.7757,2178.8977,378.3995,73.254715,8.937934
129,2191.6133,376.02158,2189.847,378.3917,74.06845,8.957464
130,2202.4404,378.05344,2200.8682,378.03064,74.887535,9.860069
131,2212.0852,377.92053,2211.6257,377.41904,75.68701,11.389028
132,2223.3542,374.26752,2222.2642,376.4982,76.47765,13.691049
133,2232.8608,373.1673,2232.4175,375.5516,77.23223,16.057459
134,2241.1748,376.51923,2242.1755,375.21027,77.957436,16.91078
135,2249.8914,376.55774,2251.7104,375.47525,78.66605,16.24834
136,2262.2979,375.89352,2261.149,375.90942,79.367516,15.162941
137,2270.8987,377.31946,2270.6223,375.91913,80.071556,15.1386795
138,2280.1685,376.61243,2280.2563,376.65622,80.787544,13.296011
139,2289.091,376.25955,2289.6426,377.5243,81.485115,11.125898
140,2298.733,377.62787,2299.2515,378.38483,82.199234,8.97463
141,2310.1343,379.3182,2308.8801,379.1666,82.914825,7.0202703
142,2319.2122,379.96323,2318.458,380.4693,83.62664,3.7636137
143,2327.5044,380.74188,2328.1582,382.16016,84.34754,-0.46339476
144,2338.5205,384.49872,2338.2705,383.48483,85.099075,-3.774981
145,2346.9194,383.20325,2348.4175,384.4694,85.85318,-6.236298
146,2358.7585,386.15787,2358.725,384.85046,86.619225,-7.1889505
147,2368.9644,385.82758,2369.3164,384.664,87.406364,-6.722809
148,2380.5686,386.2014,2380.0896,384.19183,88.207016,-5.5424266
149,2392.1963,384.443,2391.3372,382.6108,89.042915,-1.5899918
150,2401.9788,378.5825,2402.9485,379.275,89.905846,6.7492824
151,2413.177,376.17233,2414.3591,375.4869,90.75387,16.219198
152,2425.61,374.5011,2425.848,372.39456,91.607704,23.949816
153,2437.9653,372.50296,2436.9128,371.7127,92.43003,25.6544
154,2448.4587,368.61508,2447.9175,371.24582,93.24788,26.821583
155,2460.0388,361.01355,2458.887,370.22037,94.06312,29.38513
156,2470.6543,361.84198,2469.6702,370.4525,94.8645,28.804781
157,2478.8738,374.43262,2480.146,371.89365,95.64306,25.202066
158,2489.705,382.26852,2490.4258,373.47946,96.407036,21.237656
159,2499.523,387.77106,2500.506,374.95477,97.15619,17.549492
160,2510.7126,367.55408,2510.384,376.06445,97.890305,14.77538
161,2521.3362,368.0983,2520.0564,376.55334,98.60914,13.553189
162,2529.1543,378.8369,2529.5198,376.16623,99.31244,14.520948
163,2538.653,376.13266,2538.7712,374.64795,100.0,18.316528
